publisher,video_title,link,date_posted,total_view,dislikes,likes,timestamp
Kangai Mwiti,Eyebrow and Foundation Routine- Juliet's Makeover,https://www.youtube.com/watch?v=s_XE5vOz670,16/11/2012,19263,3,619,1482260592
Kangai Mwiti,Eyebrows in less than 5 minutes a day!,https://www.youtube.com/watch?v=ec4vK2CzC90,02/11/2012,8296,1,184,1482260593
Kangai Mwiti,Cream Foundation- Finding your shade,https://www.youtube.com/watch?v=odWWVa0c9_U,26/10/2012,12017,6,442,1482260594
Kangai Mwiti,Golden Smoke,https://www.youtube.com/watch?v=Ox8BbrOvONk&t=31s,18/10/2012,3528,1,103,1482260595
Kangai Mwiti,Hot Chocolate Eyes- Chocolate/Nutmeg,https://www.youtube.com/watch?v=Grf5vnu76Qs,04/10/2012,7960,1,236,1482260597
Kangai Mwiti,Juliet's Makeover,https://www.youtube.com/watch?v=AOJh_MAWzuM,27/09/2012,11932,1,504,1482260598
Kangai Mwiti,"Foundation, Concealing and Eyebrows- Coffee Skin",https://www.youtube.com/watch?v=aPp4Kxz6ydo,20/09/2012,13005,1,228,1482260600
Kangai Mwiti,"Coming to Bellesa Africa- September 27, 2012",https://www.youtube.com/watch?v=upg3bUMaXfw,17/09/2012,1985,3,12,1482260601
Kangai Mwiti,"Gold Eyes, Cherry Lips- Coffee Skin",https://www.youtube.com/watch?v=gRdh8KHb4pU,13/09/2012,5881,4,136,1482260602
Kangai Mwiti,"Contouring, Highlighting and Foundation- Caramel Skin",https://www.youtube.com/watch?v=LOap2eh5UH0,10/09/2012,3268961,3090,24204,1482260603
Kangai Mwiti,Brenda Wairimu- From Day to Night,https://www.youtube.com/watch?v=xrUcnUBNNvA,30/08/2012,11637,2,127,1482260605
Kangai Mwiti,Hot Chocolate Eyes- Chocolate/Nutmeg,https://www.youtube.com/watch?v=MricGz6WsJM,23/08/2012,18894,2,686,1482260606
Kangai Mwiti,"Contouring, Highlighting and Foundation- Chocolate. Brown Skin",https://www.youtube.com/watch?v=dt8XOh5bxU4,15/08/2012,1680023,1109,18643,1482260607
Kangai Mwiti,Simple Smoky Eye ,https://www.youtube.com/watch?v=CGFCrwfKfvI,05/08/2012,10861,5,307,1482260609
Kangai Mwiti,Nairobi In A Day,https://www.youtube.com/watch?v=fbiE8rktF1M,18/06/2012,4458,2,227,1482260610
Kangai Mwiti,I AM Not Yours,https://www.youtube.com/watch?v=cafiviIuOQU,17/05/2012,3491,5,106,1482260611
